Num;Answer1;Answer2;A;Speaker;T;Subject;Z
5;39;229;S9_P_80dapre.wav;S9;P;AK;
6;1000;1000;S18_Pre_80dapre.wav;S18;Pre;AK;
7;368;4;S34_Pre_80dapre.wav;S34;Pre;AK;
8;974;985;S6_P6mnd_80dapre.wav;S6;P6mnd;AK;
9;119;117;S38_Pre_80dapre.wav;S38;Pre;AK;
10;869;871;S17_P1_80dapre.wav;S17;P1;AK;
11;136;423;S9_Pre_80dapre.wav;S9;Pre;AK;
12;75;120;S44_P1_80dapre.wav;S44;P1;AK;
13;633;908;S10_P6mnd_80dapre.wav;S10;P6mnd;AK;
14;282;614;S46_P6mnd_80dapre.wav;S46;P6mnd;AK;
15;873;969;S45_P1_80dapre.wav;S45;P1;AK;
16;55;418;S1_Pre_80dapre.wav;S1;Pre;AK;
17;382;885;S29_Pre_80dapre.wav;S29;Pre;AK;
18;876;1000;S39_P6mnd_80dapre.wav;S39;P6mnd;AK;
19;135;85;S12_P1_80dapre.wav;S12;P1;AK;
20;10;37;S26_Pre_80dapre.wav;S26;Pre;AK;
21;966;1000;S45_P_80dapre.wav;S45;P;AK;
22;307;259;S38_P6mnd_80dapre.wav;S38;P6mnd;AK;
23;398;616;S44_Pre_80dapre.wav;S44;Pre;AK;
24;97;55;S42_Pre_80dapre.wav;S42;Pre;AK;
25;380;687;S25_Pre_80dapre.wav;S25;Pre;AK;
26;862;865;S7_Pre_80dapre.wav;S7;Pre;AK;
27;781;875;S23_P_80dapre.wav;S23;P;AK;
28;280;218;S5_Pre_80dapre.wav;S5;Pre;AK;
29;898;964;S40_Pre_80dapre.wav;S40;Pre;AK;
30;278;361;S10_P12mnd_80dapre.wav;S10;P12mnd;AK;
31;310;304;S43_Pre_80dapre.wav;S43;Pre;AK;
32;358;410;S12_P3_80dapre.wav;S12;P3;AK;
33;790;792;S21_Pre_80dapre.wav;S21;Pre;AK;
34;877;876;S36_Pre_80dapre.wav;S36;Pre;AK;
35;364;568;S27_Pre_80dapre.wav;S27;Pre;AK;
36;339;687;S28_P1_80dapre.wav;S28;P1;AK;
37;583;945;S3_P12mnd_80dapre.wav;S3;P12mnd;AK;
38;803;691;S12_P4_80dapre.wav;S12;P4;AK;
39;930;976;S15_Pre_80dapre.wav;S15;Pre;AK;
40;82;196;S4_Pre_80dapre.wav;S4;Pre;AK;
41;125;60;S17_Pre_80dapre.wav;S17;Pre;AK;
42;822;931;S36_P1_80dapre.wav;S36;P1;AK;
43;240;323;S19_Pre_80dapre.wav;S19;Pre;AK;
44;673;605;S14_Pre_80dapre.wav;S14;Pre;AK;
45;373;424;S5_P2_80dapre.wav;S5;P2;AK;
46;829;930;S7_P1_80dapre.wav;S7;P1;AK;
47;834;836;S24_P1_80dapre.wav;S24;P1;AK;
48;420;264;S2_Pre_80dapre.wav;S2;Pre;AK;
49;877;953;S20_P1_80dapre.wav;S20;P1;AK;
50;323;722;S46_P12mnd_80dapre.wav;S46;P12mnd;AK;
51;381;547;S5__80dapre.wav;S5;-;AK;
52;848;964;S29_P6mnd_80dapre.wav;S29;P6mnd;AK;
53;877;969;S16_Pre_80dapre.wav;S16;Pre;AK;
54;918;981;S19_P12mnd_80dapre.wav;S19;P12mnd;AK;
55;952;989;S11_P12mnd_80dapre.wav;S11;P12mnd;AK;
56;376;363;S13_P12mnd_80dapre.wav;S13;P12mnd;AK;
57;878;990;S39_Pre_80dapre.wav;S39;Pre;AK;
58;906;445;S32_P6mnd_80dapre.wav;S32;P6mnd;AK;
59;898;980;S14_P12mnd_80dapre.wav;S14;P12mnd;AK;
60;341;808;S26_P6mnd_80dapre.wav;S26;P6mnd;AK;
61;882;973;S19_P6mnd_80dapre.wav;S19;P6mnd;AK;
62;126;211;S28_P2_80dapre.wav;S28;P2;AK;
63;590;938;S9_P12mnd_80dapre.wav;S9;P12mnd;AK;
64;910;984;S39_P1_80dapre.wav;S39;P1;AK;
65;776;779;S42_P1_80dapre.wav;S42;P1;AK;
66;888;959;S42_P12mnd_80dapre.wav;S42;P12mnd;AK;
67;382;887;S26_P12mnd_80dapre.wav;S26;P12mnd;AK;
68;346;781;S27_P1_80dapre.wav;S27;P1;AK;
69;69;27;S25_P2_80dapre.wav;S25;P2;AK;
70;979;989;S16_P1_80dapre.wav;S16;P1;AK;
71;435;439;S44_P2_80dapre.wav;S44;P2;AK;
72;930;997;S31_P_80dapre.wav;S31;P;AK;
73;343;431;S23_Pre_80dapre.wav;S23;Pre;AK;
74;779;903;S7_P12mnd_80dapre.wav;S7;P12mnd;AK;
75;66;17;S13_Pre_80dapre.wav;S13;Pre;AK;
76;274;16;S40_P1_80dapre.wav;S40;P1;AK;
77;958;995;S45_Pre_80dapre.wav;S45;Pre;AK;
78;364;287;S33_Pre_80dapre.wav;S33;Pre;AK;
79;382;214;S28_Pre_80dapre.wav;S28;Pre;AK;
80;496;469;S2_P12mnd_80dapre.wav;S2;P12mnd;AK;
