Num;Answer1;Answer2;A;Speaker;T;Subject;Z
5;1000;892;S45_P1_80dapre.wav;S45;P1;KS;
6;742;931;S39_Pre_80dapre.wav;S39;Pre;KS;
7;399;309;S14_Pre_80dapre.wav;S14;Pre;KS;
8;345;166;S4_Pre_80dapre.wav;S4;Pre;KS;
9;371;233;S9_Pre_80dapre.wav;S9;Pre;KS;
10;685;372;S42_P1_80dapre.wav;S42;P1;KS;
11;952;716;S12_P4_80dapre.wav;S12;P4;KS;
12;882;1000;S18_Pre_80dapre.wav;S18;Pre;KS;
13;416;97;S33_Pre_80dapre.wav;S33;Pre;KS;
14;628;85;S3_Pre_80dapre.wav;S3;Pre;KS;
15;402;74;S13_Pre_80dapre.wav;S13;Pre;KS;
16;835;16;S12_P1_80dapre.wav;S12;P1;KS;
17;205;794;S46_P12mnd_80dapre.wav;S46;P12mnd;KS;
18;966;656;S31_Pre_80dapre.wav;S31;Pre;KS;
19;1000;197;S40_Pre_80dapre.wav;S40;Pre;KS;
20;570;1000;S19_P12mnd_80dapre.wav;S19;P12mnd;KS;
21;916;1;S34_Pre_80dapre.wav;S34;Pre;KS;
22;232;456;S17_Pre_80dapre.wav;S17;Pre;KS;
23;409;102;S11_Pre_80dapre.wav;S11;Pre;KS;
24;738;393;S10_Pre_80dapre.wav;S10;Pre;KS;
25;820;1000;S29_Pre_80dapre.wav;S29;Pre;KS;
26;891;971;S6_Pre_80dapre.wav;S6;Pre;KS;
27;756;856;S15_P2_80dapre.wav;S15;P2;KS;
28;936;52;S40_P1_80dapre.wav;S40;P1;KS;
29;394;1000;S39_P6mnd_80dapre.wav;S39;P6mnd;KS;
30;258;808;S38_P6mnd_80dapre.wav;S38;P6mnd;KS;
31;399;614;S10_P12mnd_80dapre.wav;S10;P12mnd;KS;
32;692;238;S19_Pre_80dapre.wav;S19;Pre;KS;
33;927;643;S14_P1_80dapre.wav;S14;P1;KS;
34;677;853;S10_P6mnd_80dapre.wav;S10;P6mnd;KS;
35;894;791;S36_Pre_80dapre.wav;S36;Pre;KS;
36;780;358;S9_P12mnd_80dapre.wav;S9;P12mnd;KS;
37;706;241;S9_P_80dapre.wav;S9;P;KS;
38;931;823;S7_Pre_80dapre.wav;S7;Pre;KS;
39;920;980;S39_P1_80dapre.wav;S39;P1;KS;
40;653;872;S2_Pre_80dapre.wav;S2;Pre;KS;
41;706;356;S22_Pre_80dapre.wav;S22;Pre;KS;
42;834;1000;S29_P6mnd_80dapre.wav;S29;P6mnd;KS;
43;853;423;S21_P1_80dapre.wav;S21;P1;KS;
44;824;945;S20_P2_80dapre.wav;S20;P2;KS;
45;773;491;S32_P6mnd_80dapre.wav;S32;P6mnd;KS;
46;908;543;S2_P12mnd_80dapre.wav;S2;P12mnd;KS;
47;806;978;S22_P12mnd_80dapre.wav;S22;P12mnd;KS;
48;412;970;S26_P12mnd_80dapre.wav;S26;P12mnd;KS;
49;861;610;S45_Pre_80dapre.wav;S45;Pre;KS;
50;277;638;S28_P1_80dapre.wav;S28;P1;KS;
51;642;13;S26_Pre_80dapre.wav;S26;Pre;KS;
52;588;999;S22_P1_80dapre.wav;S22;P1;KS;
53;854;973;S14_P12mnd_80dapre.wav;S14;P12mnd;KS;
54;905;618;S36_P1_80dapre.wav;S36;P1;KS;
55;797;613;S23_P_80dapre.wav;S23;P;KS;
56;651;892;S11_P12mnd_80dapre.wav;S11;P12mnd;KS;
57;963;943;S45_P_80dapre.wav;S45;P;KS;
58;539;935;S46_P6mnd_80dapre.wav;S46;P6mnd;KS;
59;837;914;S44_Pre_80dapre.wav;S44;Pre;KS;
60;960;896;S6_P6mnd_80dapre.wav;S6;P6mnd;KS;
61;746;812;S7_P12mnd_80dapre.wav;S7;P12mnd;KS;
62;912;742;S17_P1_80dapre.wav;S17;P1;KS;
63;718;862;S5_P1_80dapre.wav;S5;P1;KS;
64;945;810;S43_P12mnd_80dapre.wav;S43;P12mnd;KS;
65;861;953;S24_P1_80dapre.wav;S24;P1;KS;
66;709;870;S3_P1_80dapre.wav;S3;P1;KS;
67;753;213;S12_P3_80dapre.wav;S12;P3;KS;
68;226;809;S26_P6mnd_80dapre.wav;S26;P6mnd;KS;
69;561;835;S24_Pre_80dapre.wav;S24;Pre;KS;
70;711;418;S28_Pre_80dapre.wav;S28;Pre;KS;
71;691;835;S33_P_80dapre.wav;S33;P;KS;
72;670;759;S27_Pre_80dapre.wav;S27;Pre;KS;
73;148;373;S28_P2_80dapre.wav;S28;P2;KS;
74;377;553;S25_Pre_80dapre.wav;S25;Pre;KS;
75;381;542;S44_P2_80dapre.wav;S44;P2;KS;
76;377;757;S27_P12mnd_80dapre.wav;S27;P12mnd;KS;
77;633;256;S20_P1_80dapre.wav;S20;P1;KS;
78;461;357;S5_P2_80dapre.wav;S5;P2;KS;
79;413;240;S5_Pre_80dapre.wav;S5;Pre;KS;
80;689;383;S42_P12mnd_80dapre.wav;S42;P12mnd;KS;
81;370;590;S27_P1_80dapre.wav;S27;P1;KS;
82;402;176;S25_P2_80dapre.wav;S25;P2;KS;
83;878;840;S15_Pre_80dapre.wav;S15;Pre;KS;
84;797;562;S21_Pre_80dapre.wav;S21;Pre;KS;
85;340;433;S13_P12mnd_80dapre.wav;S13;P12mnd;KS;
86;661;556;S12_Pre_80dapre.wav;S12;Pre;KS;
87;540;391;S43_Pre_80dapre.wav;S43;Pre;KS;
88;459;571;S44_P1_80dapre.wav;S44;P1;KS;
89;794;908;S16_Pre_80dapre.wav;S16;Pre;KS;
90;707;241;S5__80dapre.wav;S5;-;KS;
91;619;382;S7_P1_80dapre.wav;S7;P1;KS;
92;465;253;S42_Pre_80dapre.wav;S42;Pre;KS;
93;402;847;S19_P6mnd_80dapre.wav;S19;P6mnd;KS;
94;302;647;S23_Pre_80dapre.wav;S23;Pre;KS;
95;658;765;S16_P1_80dapre.wav;S16;P1;KS;
96;378;156;S38_Pre_80dapre.wav;S38;Pre;KS;
97;706;829;S46_Pre_80dapre.wav;S46;Pre;KS;
98;290;713;S3_P12mnd_80dapre.wav;S3;P12mnd;KS;
99;726;847;S1_Pre_80dapre.wav;S1;Pre;KS;
100;943;811;S31_P_80dapre.wav;S31;P;KS;
